epoch,train_loss,precision,recall,map50,map5095,epoch_time_s
1,0.8740520783669536,0.687732342007371,0.8913514815705984,0.8831159820651063,0.5177478640902751,5174.3861718177795
2,0.6609659008650797,0.7801628423389256,0.8887015177064697,0.9101027669292865,0.5338864062829772,5081.612274169922
3,0.616969356925143,0.812386351481355,0.9148397976390129,0.9351518614457386,0.5727258107652611,5118.391145706177
4,0.593069284798727,0.8987419832263321,0.8777403035412096,0.927391935398083,0.5756405908946355,5023.728686332703
5,0.5745194404202135,0.8418972332014831,0.872319922910037,0.9075307766399762,0.5670970291415653,5076.797703266144
6,0.5567151364251914,0.8914434700164859,0.9060467357262219,0.9353751572641996,0.5856608227596131,5039.959309339523
7,0.5464125554850667,0.8928228516561578,0.8960491447842813,0.9318123571943528,0.5595810231964776,5034.689138889313
8,0.5344196880729112,0.8637458424130217,0.9071308118524564,0.9309886962470442,0.5748944795146438,5070.00711607933
9,0.5232864201946146,0.897612156295116,0.8965309563959412,0.9272001314871382,0.5459561548979567,5024.324147701263
10,0.5136157238560748,0.7945603654104854,0.9219465189109947,0.9347125561815677,0.5568979852860516,5078.696518659592
