epoch,train_loss,precision,recall,map50,map5095,epoch_time_s
1,0.23244715136169652,0.9157815819066705,0.8827993254636373,0.9313734409832718,0.4976396978768234,4482.7342076301575
2,0.20829950222172774,0.9693877551019123,0.8811129848228281,0.9441015764628307,0.5641329548072697,4291.883887529373
3,0.20095773702234887,0.9717294100676515,0.8114912069379894,0.8980001494435981,0.5204663531651887,4264.5645163059235
4,0.19749760076356532,0.8169891767791825,0.9001445434833895,0.930996711596404,0.5309868311454164,4398.180113077164
5,0.19725288822162762,0.6666666666666042,0.8581064803660734,0.8559174816502203,0.47734471901993053,4653.965902328491
6,0.19730359396753058,0.942895086321242,0.7696940496265032,0.8815404926196183,0.4949390293209639,4300.014775276184
7,0.19595810184780302,0.9527682202062945,0.7337990845578494,0.8507930559687095,0.4852649515236517,4236.204451084137
8,0.1963436127300025,0.9390504134434596,0.8481088894241329,0.9125399365283475,0.5199596974353242,4262.648728132248
9,0.19341584341097162,0.6315257662512098,0.903396771862093,0.8956726650790413,0.5111015580815845,4401.728441476822
10,0.19444582379986397,0.83623776557641,0.8438930378221098,0.8896487305069914,0.5117700191085586,4403.796982526779
